Total Bathrooms,AC,NUM_UNITS,ROOMS,BEDRM,RMDL_10,SALEDATE,PRICE,SALE_NUM,GBA,CNDTN,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,ZIPCODE,Census,X,Y,grade_5_english_75_N,grade_5_english_25_N,grade_5_math_75_N,grade_5_math_25_N,grade_8_english_75_N,grade_8_english_25_N,grade_8_math_75_N,grade_8_math_25_N,grade_9_12_english_75_N,grade_9_12_english_25_N,grade_9_12_math_75_N,grade_9_12_math_25_N,Starbucks_count_N,McDonalds_count_N,Population_size,Percent_White,Percent_Black,Percent_AmInd,Percent_Asian,Percent_HI_PI,Percent_Other_mixed,Percent_Hispanic,Percent_18plus,Total_Hounting_Units,Percent_Occupied,Percent_Vacant,FAGI_Total,FAGI_Median,Crime,,,,
3.5,Y,1,6,4,No,7/26/16 0:00,420000,4,1628,Good,1,0,3091,1771 W STREET SE,20020,7500.04,-76.9803947,38.86242492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,6,4,No,6/28/16 0:00,420000,4,1628,Good,1,0,3057,1773 W STREET SE,20020,7500.04,-76.9803947,38.86242492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,6,4,No,6/15/16 0:00,420000,4,1628,Good,1,0,3033,1775 W STREET SE,20020,7500.04,-76.9803947,38.86242492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,6,4,No,6/2/16 0:00,420000,4,1628,Good,1,0,3009,1777 W STREET SE,20020,7500.04,-76.9803947,38.86242492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,8,4,No,10/12/16 0:00,416000,7,1636,Good,1,0,3600,1774 W STREET SE,20020,7500.04,-76.98064806,38.86355574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,8,4,No,8/19/16 0:00,415000,7,1636,Good,1,0,3600,1772 W STREET SE,20020,7500.04,-76.98064806,38.86355574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,8,4,No,4/5/16 0:00,412000,2,1640,Very Good,1,0,3334,1442 MORRIS ROAD SE,20020,7500.04,-76.98639147,38.86032641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,8,4,No,5/18/16 0:00,410150,2,1640,Very Good,1,0,3225,1444 MORRIS ROAD SE,20020,7500.04,-76.98639147,38.86032641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,8,4,No,5/11/16 0:00,407000,2,1632,Very Good,1,0,3445,1440 MORRIS ROAD SE,20020,7500.04,-76.98639147,38.86032641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,8,4,No,5/3/16 0:00,403000,2,1640,Very Good,1,0,3658,1438 MORRIS ROAD SE,20020,7500.04,-76.98639147,38.86032641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
