BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,YR_RMDL,SALEDATE,PRICE,SALE_NUM,GBA,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,CENSUS_TRACT
2,1,Y,1,8,3,2000,1/6/16 0:00,1180000,4,1800,Good Quality,Good,Brick/Stone,Metal- Sms,Hardwood,1,0,1277,810 NORTH CAROLINA AVENUE SE,WASHINGTON,DC,20003,6700
2,1,Y,1,6,3,2015,1/6/16 0:00,795000,2,1608,Above Average,Good,Brick/Stone,Metal- Sms,Hardwood,1,1,992,204 9TH STREET NE,WASHINGTON,DC,20002,8100
1,0,N,1,6,3,,1/6/16 0:00,740000,3,1274,Above Average,Good,Common Brick,Metal- Sms,Wood Floor,1,1,722,405 KENTUCKY AVENUE SE,WASHINGTON,DC,20003,6900
1,0,Y,1,6,2,1983,1/6/16 0:00,380000,6,960,Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,516,1511 INDEPENDENCE AVENUE SE,WASHINGTON,DC,20003,6801
5,1,Y,1,11,6,2011,1/6/16 0:00,2518750,2,4431,Excellent,Good,Common Brick,Slate,Hardwood,1,2,10367,4717 FULTON STREET NW,WASHINGTON,DC,20007,801
3,1,N,1,9,5,1994,1/6/16 0:00,,2,2752,Excellent,Average,Stone/Stucco,Slate,Hardwood,1,1,10074,5022 RENO ROAD NW,WASHINGTON,DC,20008,1100
3,0,Y,1,7,3,1991,1/6/16 0:00,1100000,5,1804,Above Average,Good,Wood Siding,Comp Shingle,Hardwood,1,1,5745,4613 38TH STREET NW,WASHINGTON,DC,20016,1200
4,1,Y,1,12,6,2015,1/6/16 0:00,1385000,5,2356,Good Quality,Very Good,Common Brick,Comp Shingle,Hardwood,1,1,6850,6221 32ND PLACE NW,WASHINGTON,DC,20015,1500
2,0,N,1,6,3,2010,1/6/16 0:00,648999,2,1742,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,2180,1524 UPSHUR STREET NW,WASHINGTON,DC,20011,2502
2,1,N,1,9,4,1990,1/6/16 0:00,,3,2740,Good Quality,Good,Stucco,Slate,Hardwood,1,1,5574,1207 FARRAGUT STREET NW,WASHINGTON,DC,20011,2002
2,0,N,1,6,3,,1/6/16 0:00,,2,1368,Average,Average,Common Brick,Metal- Sms,Hardwood,1,1,2466,217 GALLATIN STREET NW,WASHINGTON,DC,20011,2102
3,0,Y,2,7,3,2007,1/6/16 0:00,,4,1407,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2,0,1530,5018 3RD STREET NW,WASHINGTON,DC,20011,2202
2,1,N,1,7,3,,1/6/16 0:00,465000,2,1296,Above Average,Average,Common Brick,Built Up,Hardwood,1,0,2565,313 EMERSON STREET NW,WASHINGTON,DC,20011,2202
1,1,Y,1,6,3,2015,1/6/16 0:00,605000,4,1292,Above Average,Good,Common Brick,Built Up,Hardwood,1,0,2253,1332 RITCHIE PLACE NE,WASHINGTON,DC,20017,9503
1,1,N,1,7,3,,1/6/16 0:00,,5,1110,Average,Good,Vinyl Siding,Comp Shingle,Default,1,0,3500,3721 SOUTH DAKOTA AVENUE NE,WASHINGTON,DC,20018,9400
2,0,Y,1,5,2,2012,1/6/16 0:00,,8,768,Average,Good,Common Brick,Built Up,Hardwood,1,0,2537,4520 FOOTE STREET NE,WASHINGTON,DC,20019,7803
