BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,YR_RMDL,SALEDATE,PRICE,SALE_NUM,GBA,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,CENSUS_TRACT
5,2,Y,1,12,6,2010,8/23/16 0:00,4925000,2,4712,Exceptional-A,Very Good,Common Brick,Built Up,Hardwood,1,8,3663,3257 N STREET NW,WASHINGTON,DC,20007,202
4,1,Y,1,10,4,2012,8/23/16 0:00,,2,2574,Excellent,Good,Common Brick,Metal- Sms,Hardwood,1,1,1762,1644 35TH STREET NW,WASHINGTON,DC,20007,202
3,0,Y,1,7,3,2012,8/23/16 0:00,1625000,5,1230,Superior,Good,Common Brick,Metal- Sms,Hardwood,1,3,1659,2800 P STREET NW,WASHINGTON,DC,20007,100
3,0,Y,1,8,3,2000,8/23/16 0:00,1300000,3,1404,Good Quality,Very Good,Common Brick,Metal- Sms,Hardwood,1,1,2281,3814 T STREET NW,WASHINGTON,DC,20007,300
2,1,Y,2,8,3,,8/23/16 0:00,800000,4,1458,Good Quality,Average,Common Brick,Built Up,Hardwood,2,0,1644,2219 HALL PLACE NW,WASHINGTON,DC,20007,300
3,2,Y,1,11,4,2015,8/23/16 0:00,1347800,6,2800,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,1,1,5000,5243 SHERIER PLACE NW,WASHINGTON,DC,20016,902
3,0,Y,1,8,4,2006,8/23/16 0:00,,5,1804,Very Good,Very Good,Common Brick,Metal- Sms,Hardwood,1,2,3750,3808 FULTON STREET NW,WASHINGTON,DC,20007,701
3,1,Y,1,8,4,,8/23/16 0:00,930000,2,1448,Above Average,Average,Common Brick,Comp Shingle,Hardwood,1,1,4831,3841 ALBEMARLE STREET NW,WASHINGTON,DC,20016,1200
2,0,Y,1,7,3,,8/23/16 0:00,880000,2,1332,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,0,1512,2447 39TH PLACE NW,WASHINGTON,DC,20007,300
5,1,Y,1,9,6,2010,8/23/16 0:00,4150000,4,4759,Superior,Very Good,Stone,Slate,Hardwood,2,1,9000,3125 38TH STREET NW,WASHINGTON,DC,20016,701
7,2,Y,1,14,8,1983,8/23/16 0:00,7100000,3,8820,Exceptional-C,Good,Hardboard,Comp Shingle,Hardwood,1,11,24164,2401 KALORAMA ROAD NW,WASHINGTON,DC,20008,4100
4,0,N,4,16,4,2004,8/23/16 0:00,,5,2756,Good Quality,Average,Brick/Stucco,Built Up,Hardwood,4,0,3125,2425 ONTARIO ROAD NW,WASHINGTON,DC,20009,3800
4,1,Y,1,9,7,2016,8/23/16 0:00,1300000,3,2670,Very Good,Very Good,Common Brick,Slate,Hardwood,1,2,8221,1820 RANDOLPH STREET NW,WASHINGTON,DC,20011,2600
3,1,Y,1,5,4,1989,8/23/16 0:00,999999,3,2632,Good Quality,Good,Common Brick,Slate,Hardwood,1,1,6980,6940 32ND STREET NW,WASHINGTON,DC,20015,1500
3,1,Y,1,8,4,2013,8/23/16 0:00,732500,4,1050,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,1167,3028 SHERMAN AVENUE NW,WASHINGTON,DC,20001,3100
2,0,Y,1,8,3,2005,8/23/16 0:00,,4,1392,Average,Good,Vinyl Siding,Metal- Sms,Hardwood,1,0,1628,611 NEWTON PLACE NW,WASHINGTON,DC,20010,3200
3,1,Y,1,6,3,2016,8/23/16 0:00,981000,8,1426,Good Quality,Very Good,Common Brick,Built Up,Wood Floor,1,2,1500,16 SEATON PLACE NW,WASHINGTON,DC,20001,3302
3,0,N,1,6,4,,8/23/16 0:00,555000,2,1387,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,0,1748,5220 1ST STREET NW,WASHINGTON,DC,20011,2102
3,1,Y,1,8,3,2018,8/23/16 0:00,625000,3,1820,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,5700,1326 NEWTON STREET NE,WASHINGTON,DC,20017,9301
3,0,Y,2,7,4,2010,8/23/16 0:00,797500,9,1740,Above Average,Very Good,Common Brick,Built Up,Hardwood,2,0,1600,1248 FLORIDA AVENUE NE,WASHINGTON,DC,20002,8802
3,1,Y,1,10,4,2016,8/23/16 0:00,679999,4,1664,Above Average,Very Good,Common Brick,Comp Shingle,Hardwood,1,1,2899,1822 TAYLOR STREET NE,WASHINGTON,DC,20018,9400
2,2,Y,1,6,3,,8/23/16 0:00,575000,3,1784,Good Quality,Very Good,Brick/Siding,Comp Shingle,Hardwood,1,0,3565,3277 THEODORE R HAGANS DRIVE NE,WASHINGTON,DC,20018,9000
3,1,Y,1,7,3,2012,8/23/16 0:00,629900,8,1071,Above Average,Good,Common Brick,Built Up,Hardwood,1,0,960,1632 ROSEDALE STREET NE,WASHINGTON,DC,20002,7901
4,0,Y,1,9,5,2016,8/23/16 0:00,720000,3,1565,Above Average,Very Good,Brick/Stone,Comp Shingle,Wood Floor,1,0,5400,3021 24TH STREET NE,WASHINGTON,DC,20018,11100
1,0,N,1,4,2,,8/23/16 0:00,219000,2,885,Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,1678,210 35TH STREET NE,WASHINGTON,DC,20019,9603
1,2,N,1,7,4,,8/23/16 0:00,225000,2,1152,Above Average,Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1,0,3480,2415 WAGNER STREET SE,WASHINGTON,DC,20020,7502
2,0,Y,1,6,3,2016,8/23/16 0:00,330000,5,864,Average,Very Good,Common Brick,Built Up,Wood Floor,1,0,2152,1434 BANGOR STREET SE,WASHINGTON,DC,20020,7503
1,1,Y,1,6,2,2003,8/23/16 0:00,235000,8,1368,Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,2190,414 MELLON STREET SE,WASHINGTON,DC,20032,10400
2,0,Y,,4,2,1979,8/23/16 0:00,409000,4,,,,,,,,0,1108,,,,20007,702
1,0,Y,,3,1,,8/23/16 0:00,410000,3,,,,,,,,0,134,,,,20037,5500
1,0,Y,,4,2,1980,8/23/16 0:00,519000,5,,,,,,,,0,373,,,,20037,5500
2,0,Y,,4,2,2016,8/23/16 0:00,575000,2,,,,,,,,0,765,,,,20002,8802
1,0,N,,3,1,1978,8/23/16 0:00,229900,3,,,,,,,,0,715,,,,20017,9201
1,0,Y,,3,1,,8/23/16 0:00,248000,3,,,,,,,,0,637,,,,20017,9504
2,1,Y,,4,2,,8/23/16 0:00,520000,2,,,,,,,,0,620,,,,20017,9301
1,1,Y,,6,3,2001,8/23/16 0:00,700000,3,,,,,,,,1,804,,,,20001,4400
1,0,Y,,4,1,2000,8/23/16 0:00,420000,5,,,,,,,,1,313,,,,20001,4400
1,0,Y,,3,1,,8/23/16 0:00,385000,3,,,,,,,,1,465,,,,20009,3900
1,0,Y,,3,1,2012,8/23/16 0:00,,3,,,,,,,,0,202,,,,20010,2701
2,1,Y,,4,2,2005,8/23/16 0:00,684500,4,,,,,,,,0,853,,,,20010,2900
2,1,Y,,5,3,,8/23/16 0:00,750000,2,,,,,,,,0,1298,,,,20010,3100
2,0,Y,,4,2,,8/23/16 0:00,550000,2,,,,,,,,0,368,,,,20010,2502
2,1,Y,,6,3,2016,8/23/16 0:00,660000,2,,,,,,,,0,577,,,,20001,3301
1,0,Y,,3,1,,8/23/16 0:00,375000,2,,,,,,,,0,201,,,,20002,8402
2,1,Y,,5,2,,8/23/16 0:00,,3,,,,,,,,0,570,,,,20002,8001
1,0,Y,,4,1,2007,8/23/16 0:00,416000,3,,,,,,,,0,335,,,,20024,10500
2,0,Y,,4,2,2003,8/23/16 0:00,640000,5,,,,,,,,1,304,,,,20005,5002
2,0,Y,,4,2,2016,8/23/16 0:00,779900,2,,,,,,,,0,5729,,,,20009,4400
1,0,Y,,3,1,,8/23/16 0:00,447500,4,,,,,,,,0,94,,,,20004,5800
2,0,Y,,5,2,,8/23/16 0:00,,4,,,,,,,,0,581,,,,20024,10200
2,1,Y,1,7,2,1990,8/24/16 0:00,,2,2214,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,1,2003,323 A STREET SE,WASHINGTON,DC,20003,6600
1,0,N,1,8,3,,8/24/16 0:00,212000,3,1272,Above Average,Average,Common Brick,Built Up,Hardwood,1,0,1602,1808 BAY STREET SE,WASHINGTON,DC,20003,6801
4,1,Y,1,13,5,,8/24/16 0:00,1750000,3,2883,Superior,Very Good,Common Brick,Comp Shingle,Hardwood,1,1,5201,4612 CHARLESTON TERRACE NW,WASHINGTON,DC,20007,802
4,0,Y,1,11,4,1996,8/24/16 0:00,,2,3378,Very Good,Good,Stucco,Comp Shingle,Hardwood,1,1,6161,4404 BUTTERWORTH PLACE NW,WASHINGTON,DC,20016,1001
3,1,Y,1,6,3,2013,8/24/16 0:00,975000,3,1846,Good Quality,Average,Common Brick,Slate,Hardwood,2,1,4363,4338 RENO ROAD NW,WASHINGTON,DC,20008,1200
3,1,Y,1,8,4,2000,8/24/16 0:00,,3,2760,Very Good,Good,Common Brick,Slate,Hardwood,1,2,7632,6420 31ST PLACE NW,WASHINGTON,DC,20015,1500
2,0,N,1,7,3,,8/24/16 0:00,,2,2052,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1,1,2721,1841 IRVING STREET NW,WASHINGTON,DC,20010,2702
2,1,N,2,9,4,,8/24/16 0:00,,2,2037,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,2,1,3917,1845 IRVING STREET NW,WASHINGTON,DC,20010,2702
3,1,Y,1,8,4,2016,8/24/16 0:00,619900,3,1460,Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,1770,826 MARIETTA PLACE NW,WASHINGTON,DC,20011,2101
3,1,Y,2,10,4,2016,8/24/16 0:00,800000,3,2054,Average,Very Good,Common Brick,Metal- Sms,Hardwood,2,0,2000,5001 9TH STREET NW,WASHINGTON,DC,20011,2201
3,0,N,1,10,5,2017,8/24/16 0:00,,6,1260,Above Average,Good,Common Brick,Comp Shingle,Hardwood,1,1,4531,7205 8TH STREET NW,WASHINGTON,DC,20012,10300
3,1,Y,1,6,3,2016,8/24/16 0:00,595000,4,1268,Average,Good,Common Brick,Built Up,Hardwood,1,0,1754,519 TUCKERMAN STREET NW,WASHINGTON,DC,20011,1901
3,1,Y,1,7,4,2015,8/24/16 0:00,640000,4,1546,Average,Good,Common Brick,Comp Shingle,Hardwood,1,1,2784,5918 4TH STREET NW,WASHINGTON,DC,20011,1902
2,0,Y,1,6,3,2012,8/24/16 0:00,700000,3,1330,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,1923,454 RANDOLPH STREET NW,WASHINGTON,DC,20011,2301
3,1,Y,1,9,4,,8/24/16 0:00,,3,2696,Good Quality,Very Good,Common Brick,Comp Shingle,Hardwood,1,1,3793,6104 NEW HAMPSHIRE AVENUE NE,WASHINGTON,DC,20011,9505
1,1,N,1,6,3,,8/24/16 0:00,,2,2146,Good Quality,Average,Common Brick,Built Up,Hardwood/Carp,1,0,1530,61 R STREET NE,WASHINGTON,DC,20002,8701
3,1,Y,1,6,3,,8/24/16 0:00,,4,1582,Good Quality,Very Good,Brick/Siding,Built Up,Hardwood/Carp,1,0,873,3045 CHANCELLOR'S WAY NE,WASHINGTON,DC,20017,9201
3,1,Y,1,8,3,,8/24/16 0:00,4200000,2,1492,Above Average,Very Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1,0,1867,603 TOTTEN MEWS NE,WASHINGTON,DC,20017,9509
2,1,N,1,7,3,,8/24/16 0:00,,3,1440,Average,Average,Common Brick,Built Up,Hardwood,1,0,1440,1320 STAPLES STREET NE,WASHINGTON,DC,20002,8802
1,1,Y,1,5,2,2006,8/24/16 0:00,387500,5,960,Average,Good,Aluminum,Built Up,Hardwood,1,1,600,1678 KRAMER STREET NE,WASHINGTON,DC,20002,7901
2,1,Y,1,5,3,2011,8/24/16 0:00,622000,6,884,Average,Very Good,Common Brick,Built Up,Hardwood/Carp,1,0,1035,1624 F STREET NE,WASHINGTON,DC,20002,7901
1,0,N,1,5,2,,8/24/16 0:00,,3,810,Average,Average,Brick/Siding,Comp Shingle,Hardwood,1,0,1502,924 52ND STREET NE,WASHINGTON,DC,20019,7809
1,2,Y,1,7,4,,8/24/16 0:00,270000,5,1008,Above Average,Average,Vinyl Siding,Comp Shingle,Hardwood,1,0,2828,1336 ANACOSTIA ROAD SE,WASHINGTON,DC,20019,7709
1,1,Y,1,5,3,2016,8/24/16 0:00,475000,4,1590,Above Average,Good,Common Brick,Built Up,Hardwood,2,0,3241,1716 16TH STREET SE,WASHINGTON,DC,20020,7601
1,0,N,1,5,3,1982,8/24/16 0:00,315000,3,1200,Average,Good,Vinyl Siding,Built Up,Hardwood,1,1,6717,1379 MORRIS ROAD SE,WASHINGTON,DC,20020,7407
3,1,Y,1,9,4,,8/24/16 0:00,422200,6,1636,Above Average,Good,Brick/Stucco,Comp Shingle,Hardwood,1,0,3600,1776 W STREET SE,WASHINGTON,DC,20020,7504
1,0,Y,,3,1,1982,8/24/16 0:00,,3,,,,,,,,0,194,,,,20009,4202
2,0,Y,,4,2,2006,8/24/16 0:00,311253,4,,,,,,,,0,470,,,,20037,5500
2,0,Y,,5,2,2006,8/24/16 0:00,286191,3,,,,,,,,0,530,,,,20037,5500
2,1,Y,,5,2,2006,8/24/16 0:00,376665,4,,,,,,,,0,600,,,,20037,5500
1,0,Y,,3,1,1994,8/24/16 0:00,450000,4,,,,,,,,0,103,,,,20009,4201
1,0,Y,,4,2,2009,8/24/16 0:00,280000,2,,,,,,,,0,994,,,,20018,9102
1,0,Y,,3,1,1988,8/24/16 0:00,325000,4,,,,,,,,1,134,,,,20016,600
1,1,Y,,4,1,1982,8/24/16 0:00,,4,,,,,,,,0,1149,,,,20016,1002
1,0,Y,,3,1,2005,8/24/16 0:00,360000,5,,,,,,,,1,1027,,,,20016,1002
2,0,Y,,4,1,,8/24/16 0:00,,4,,,,,,,,0,116,,,,20001,10100
1,0,Y,,3,1,,8/24/16 0:00,,2,,,,,,,,0,102,,,,20005,5201
2,0,Y,,4,2,2016,8/24/16 0:00,670000,2,,,,,,,,1,453,,,,20005,5002
3,0,Y,,5,3,2005,8/24/16 0:00,762500,4,,,,,,,,1,1201,,,,20010,2701
1,0,Y,,3,1,2005,8/24/16 0:00,339900,5,,,,,,,,0,360,,,,20010,2701
2,0,Y,,4,2,1985,8/24/16 0:00,,3,,,,,,,,0,229,,,,20009,3900
1,0,N,,4,2,,8/24/16 0:00,,2,,,,,,,,0,532,,,,20009,4001
1,0,Y,,3,1,2014,8/24/16 0:00,,3,,,,,,,,0,294,,,,20002,8702
5,1,Y,,10,5,1976,8/24/16 0:00,,4,,,,,,,,3,2512,,,,20008,4100
2,1,Y,,5,3,2005,8/24/16 0:00,750000,3,,,,,,,,0,630,,,,20001,4400
2,0,Y,,4,2,,8/24/16 0:00,1430000,3,,,,,,,,0,197,,,,20001,5800
1,0,Y,,3,1,2005,8/24/16 0:00,452000,4,,,,,,,,0,78,,,,20001,4702
2,0,N,2,8,4,1984,8/25/16 0:00,765000,5,2624,Above Average,Average,Common Brick,Metal- Sms,Hardwood,2,0,2000,24 1/2 Q STREET NW,WASHINGTON,DC,20001,4600
3,1,Y,1,10,4,2004,8/25/16 0:00,1555000,4,1932,Above Average,Very Good,Common Brick,Metal- Sms,Wood Floor,1,2,1500,654 C STREET NE,WASHINGTON,DC,20002,8302
4,2,Y,1,8,5,2015,8/25/16 0:00,2475000,3,2925,Exceptional-A,Very Good,Common Brick,Metal- Sms,Hardwood,1,4,3000,1667 35TH STREET NW,WASHINGTON,DC,20007,202
1,1,Y,1,7,3,,8/25/16 0:00,,3,1214,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,1,0,1680,4429 FESSENDEN STREET NW,WASHINGTON,DC,20016,1001
1,2,Y,1,7,3,2000,8/25/16 0:00,1007500,3,1368,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,1727,2821 CORTLAND PLACE NW,WASHINGTON,DC,20008,502
3,1,Y,1,9,6,2009,8/25/16 0:00,483426,2,3075,Very Good,Good,Common Brick,Slate,Hardwood,1,2,10816,3226 CHESTNUT STREET NW,WASHINGTON,DC,20015,1500
2,1,N,1,10,3,2005,8/25/16 0:00,,2,1940,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,1,1935,1301 JEFFERSON STREET NW,WASHINGTON,DC,20011,2002
1,1,N,1,6,3,,8/25/16 0:00,526900,2,1368,Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,1140,4119 7TH STREET NW,WASHINGTON,DC,20011,2400
6,3,N,1,11,6,2013,8/25/16 0:00,425000,3,2056,Above Average,Average,Wood Siding,Comp Shingle,Hardwood,1,1,4639,7100 BLAIR ROAD NW,WASHINGTON,DC,20012,1702
2,1,N,1,7,3,,8/25/16 0:00,120233,8,1088,Average,Good,Common Brick,Built Up,Hardwood,1,0,1552,6118 BLAIR ROAD NW,WASHINGTON,DC,20011,1902
1,0,Y,1,6,2,,8/25/16 0:00,,2,960,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,1799,14 CRITTENDEN STREET NE,WASHINGTON,DC,20011,9501
2,1,Y,1,8,4,2006,8/25/16 0:00,1095000,4,1861,Good Quality,Good,Wood Siding,Comp Shingle,Hardwood,1,0,7500,1315 RANDOLPH STREET NE,WASHINGTON,DC,20017,9503
1,1,Y,1,4,2,2012,8/25/16 0:00,360000,10,720,Average,Good,Vinyl Siding,Metal- Sms,Hardwood/Carp,1,0,557,2041 ROSEDALE STREET NE,WASHINGTON,DC,20002,7903
2,0,Y,1,5,3,2016,8/25/16 0:00,285000,3,810,Average,Good,Brick/Siding,Comp Shingle,Hardwood,1,0,2824,850 DIVISION AVENUE NE,WASHINGTON,DC,20019,7809
2,0,Y,1,4,3,2016,8/25/16 0:00,249999,2,880,Average,Good,Common Brick,Built Up,Hardwood,1,0,2383,277 56TH STREET NE,WASHINGTON,DC,20019,7808
1,0,Y,1,6,2,,8/25/16 0:00,,3,950,Above Average,Average,Common Brick,Comp Shingle,Hardwood,1,0,1800,2008 T STREET SE,WASHINGTON,DC,20020,7605
1,0,Y,,3,1,1979,8/25/16 0:00,267500,4,,,,,,,,0,738,,,,20007,702
2,0,Y,,5,2,,8/25/16 0:00,679900,4,,,,,,,,0,606,,,,20003,6900
2,0,Y,,4,2,2016,8/25/16 0:00,600000,2,,,,,,,,0,991,,,,20002,8802
1,0,Y,,3,1,2010,8/25/16 0:00,324900,3,,,,,,,,0,358,,,,20015,1402
2,1,Y,,7,4,,8/25/16 0:00,343500,2,,,,,,,,0,2101,,,,20019,9602
2,1,Y,,5,2,,8/25/16 0:00,1020900,3,,,,,,,,1,652,,,,20009,4400
2,1,Y,,4,2,,8/25/16 0:00,1395000,2,,,,,,,,0,981,,,,20001,4902
2,0,Y,,5,2,2000,8/25/16 0:00,660000,3,,,,,,,,0,423,,,,20001,4400
1,0,Y,,5,2,2005,8/25/16 0:00,,4,,,,,,,,1,385,,,,20010,2801
2,1,Y,,6,3,2016,8/25/16 0:00,785000,2,,,,,,,,0,1219,,,,20009,3000
1,0,Y,,2,0,,8/25/16 0:00,245300,4,,,,,,,,0,347,,,,20024,11000
2,1,Y,,4,2,2015,8/25/16 0:00,525000,2,,,,,,,,0,554,,,,20002,10600
1,0,Y,,2,0,,8/25/16 0:00,,4,,,,,,,,0,238,,,,20024,10500
1,0,Y,,3,1,2004,8/25/16 0:00,362000,3,,,,,,,,0,233,,,,20008,1302
1,0,Y,,3,1,,8/25/16 0:00,374900,2,,,,,,,,0,208,,,,20024,10200
3,0,Y,2,7,3,2016,8/26/16 0:00,800000,2,1232,Good Quality,Good,Common Brick,Built Up,Hardwood,2,1,923,119 13TH STREET SE,WASHINGTON,DC,20003,6700
2,1,Y,1,6,3,2008,8/26/16 0:00,,3,1328,Good Quality,Good,Common Brick,Metal- Sms,Wood Floor,1,0,1024,1366 EMERALD STREET NE,WASHINGTON,DC,20002,8001
3,1,Y,1,7,3,2011,8/26/16 0:00,1800000,3,1452,Superior,Very Good,Common Brick,Metal- Sms,Hardwood,1,0,915,3338 N STREET NW,WASHINGTON,DC,20007,202
2,1,Y,1,6,3,,8/26/16 0:00,,3,1632,Good Quality,Average,Stucco,Metal- Sms,Hardwood,1,1,3614,3811 VAN NESS STREET NW,WASHINGTON,DC,20016,1200
3,1,Y,1,10,5,2017,8/26/16 0:00,1560000,2,3767,Very Good,Good,Common Brick,Slate,Hardwood,1,3,7369,6001 BROAD BRANCH ROAD NW,WASHINGTON,DC,20015,1500
1,0,Y,1,6,2,,8/26/16 0:00,,2,1770,Very Good,Good,Brick/Siding,Slate,Hardwood,1,1,4126,3648 KANAWHA STREET NW,WASHINGTON,DC,20015,1402
3,0,Y,2,6,4,2016,8/26/16 0:00,1010000,6,1377,Good Quality,Good,Common Brick,Built Up,Hardwood,2,1,2212,3302 19TH STREET NW,WASHINGTON,DC,20010,2701
3,0,Y,1,10,5,2007,8/26/16 0:00,1200000,4,2646,Very Good,Good,Common Brick,Built Up,Hardwood,2,0,1868,2805 18TH STREET NW,WASHINGTON,DC,20009,3900
3,1,Y,1,8,4,2015,8/26/16 0:00,760000,3,1684,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,0,2650,1332 MONTAGUE STREET NW,WASHINGTON,DC,20011,2001
2,0,Y,1,7,4,2004,8/26/16 0:00,,7,1694,Average,Good,Vinyl Siding,Comp Shingle,Hardwood,1,1,2700,818 QUINTANA PLACE NW,WASHINGTON,DC,20011,1901
1,0,N,1,6,3,,8/26/16 0:00,,2,1408,Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,1570,5002 5TH STREET NW,WASHINGTON,DC,20011,2201
3,0,Y,1,6,2,2016,8/26/16 0:00,526000,5,1219,Average,Good,Stucco,Built Up,Hardwood,1,1,2235,3109 20TH STREET NE,WASHINGTON,DC,20018,9400
3,1,Y,1,12,6,,8/26/16 0:00,,4,2528,Average,Good,Brick/Siding,Built Up,Hardwood,1,0,3185,1815 IRVING STREET NE,WASHINGTON,DC,20018,9400
2,1,Y,1,7,3,,8/26/16 0:00,350000,5,1216,Above Average,Very Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1,0,768,634 BARNES STREET NE,WASHINGTON,DC,20019,9602
2,1,Y,1,6,3,,8/26/16 0:00,436464,2,1540,Above Average,Very Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1,0,1229,,,,20019,9602
2,1,Y,1,6,3,,8/26/16 0:00,376859,2,1232,Above Average,Very Good,Vinyl Siding,Comp Shingle,Hardwood/Carp,1,0,768,,,,20019,9602
1,2,Y,1,7,3,,8/26/16 0:00,475000,2,1516,Above Average,Good,Common Brick,Comp Shingle,Hardwood,1,1,4000,2030 34TH STREET SE,WASHINGTON,DC,20020,7604
2,1,Y,1,6,3,,8/26/16 0:00,330000,4,1224,Above Average,Excellent,Brick Veneer,Comp Shingle,Hardwood/Carp,1,0,1062,830 H R DRIVE SE,WASHINGTON,DC,20032,9700
2,0,Y,1,8,3,,8/26/16 0:00,239000,5,1216,Average,Good,Wood Siding,Metal- Sms,Hardwood,1,0,2425,1456 ALABAMA AVENUE SE,WASHINGTON,DC,20032,7404
1,0,Y,,3,1,1991,8/26/16 0:00,39500,6,,,,,,,,0,1091,,,,20032,10900
1,1,N,,5,2,,8/26/16 0:00,,6,,,,,,,,0,9,,,,20007,202
1,1,Y,,7,2,1979,8/26/16 0:00,,3,,,,,,,,1,546,,,,20007,202
1,0,Y,,2,0,1980,8/26/16 0:00,,4,,,,,,,,0,85,,,,20037,5500
1,1,Y,,3,1,,8/26/16 0:00,,2,,,,,,,,0,371,,,,20037,5600
2,1,Y,,5,2,,8/26/16 0:00,3120000,3,,,,,,,,1,555,,,,20037,5500
1,0,Y,,4,1,,8/26/16 0:00,398000,5,,,,,,,,1,158,,,,20037,5500
2,0,Y,,5,2,2006,8/26/16 0:00,,3,,,,,,,,0,530,,,,20037,5500
2,0,Y,,4,2,2016,8/26/16 0:00,549000,2,,,,,,,,0,446,,,,20009,5301
1,0,Y,,3,1,1978,8/26/16 0:00,430000,5,,,,,,,,0,146,,,,20036,5301
2,0,Y,,4,2,,8/26/16 0:00,,3,,,,,,,,0,230,,,,20008,1200
2,0,Y,,4,2,2004,8/26/16 0:00,650000,3,,,,,,,,0,713,,,,20009,3800
2,0,Y,,5,2,2016,8/26/16 0:00,569900,2,,,,,,,,0,679,,,,20010,3100
2,1,Y,,5,2,2016,8/26/16 0:00,499000,2,,,,,,,,0,719,,,,20011,2301
1,0,Y,,3,1,2010,8/26/16 0:00,245000,3,,,,,,,,0,380,,,,20012,1804
2,0,Y,,4,1,2014,8/26/16 0:00,645000,4,,,,,,,,0,444,,,,20009,3900
3,0,Y,,6,3,2016,8/26/16 0:00,799900,2,,,,,,,,0,810,,,,20002,8701
2,1,Y,,4,2,,8/26/16 0:00,749500,2,,,,,,,,0,600,,,,20001,4802
1,0,Y,,4,1,1979,8/26/16 0:00,465000,3,,,,,,,,0,212,,,,20008,4100
1,0,Y,,3,1,1978,8/26/16 0:00,275000,3,,,,,,,,0,342,,,,20008,1302
1,0,Y,,4,1,2004,8/26/16 0:00,499000,3,,,,,,,,0,288,,,,20008,1302
1,0,Y,,3,1,,8/26/16 0:00,409000,2,,,,,,,,0,232,,,,20024,10200
2,0,Y,,4,2,1978,8/26/16 0:00,,7,,,,,,,,1,317,,,,20005,5002
2,0,N,1,4,2,,8/29/16 0:00,,3,1384,Average,Fair,Common Brick,Built Up,Hardwood,1,0,1080,630 Q STREET NW,WASHINGTON,DC,20001,4801
3,1,Y,2,8,4,2016,8/29/16 0:00,900000,5,1440,Average,Good,Common Brick,Comp Shingle,Hardwood/Carp,2,0,1522,420 N STREET NW,WASHINGTON,DC,20001,4802
2,1,Y,1,10,4,,8/29/16 0:00,780000,4,1536,Good Quality,Good,Common Brick,Neopren,Hardwood,1,1,1054,332 11TH STREET NE,WASHINGTON,DC,20002,8100
4,1,Y,1,9,5,2007,8/29/16 0:00,3020000,3,3090,Superior,Very Good,Common Brick,Metal- Sms,Hardwood,1,2,4311,3322 P STREET NW,WASHINGTON,DC,20007,202
1,0,Y,1,5,2,2009,8/29/16 0:00,840000,4,980,Superior,Good,Common Brick,Metal- Sms,Hardwood,1,1,791,1662 32ND STREET NW,WASHINGTON,DC,20007,100
2,0,Y,1,5,2,1953,8/29/16 0:00,712500,3,1311,Good Quality,Average,Common Brick,Built Up,Hardwood,1,0,1700,2013 37TH STREET NW,WASHINGTON,DC,20007,300
3,2,Y,1,10,4,1992,8/29/16 0:00,995000,3,2536,Good Quality,Good,Brick/Siding,Comp Shingle,Hardwood,1,1,7697,3201 BEECH STREET NW,WASHINGTON,DC,20015,1500
3,1,Y,1,7,7,2010,8/29/16 0:00,1199000,2,2469,Very Good,Good,Common Brick,Built Up,Hardwood,2,2,1428,3161 18TH STREET NW,WASHINGTON,DC,20010,2702
3,1,N,1,8,3,2010,8/29/16 0:00,,4,2072,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1,0,2187,4514 14TH STREET NW,WASHINGTON,DC,20011,2501
1,1,N,1,7,2,,8/29/16 0:00,435000,3,1344,Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,2850,721 INGRAHAM STREET NW,WASHINGTON,DC,20011,2101
4,1,Y,1,9,6,,8/29/16 0:00,750870,3,2112,Above Average,Good,Face Brick,Comp Shingle,Hardwood,2,2,6582,2911 20TH STREET NE,WASHINGTON,DC,20018,11100
2,1,Y,1,8,3,2016,8/29/16 0:00,669000,3,1476,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,2,0,1768,3727 18TH STREET NE,WASHINGTON,DC,20018,9400
