Census Tracts,grade_5_english_75,grade_5_english_25,grade_5_math_75,grade_5_math_25,grade_8_english_75,grade_8_english_25,grade_8_math_75,grade_8_math_25,grade_9_12_english_75,grade_9_12_english_25,grade_9_12_math_75,grade_9_12_math_25,number_schools_5,number_schools_8,number_schools_9_12,,,,starbucks,mcdonalds
7400.04,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,0,0
7400.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
7400.07,0,1,0,1,1,1,1,1,0,0,0,0,4,2,0,,,,0,0
7400.08,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
7400.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
7500.02,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
7500.03,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
7500.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
7600.01,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,0,0
7600.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0
7600.04,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0,,,,0,0
7600.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
7700.03,0,0,0,0,0,1,0,2,0,1,0,1,0,4,2,,,,0,0
7700.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
7700.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
7700.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
7800.03,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,,,,0,0
7800.04,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,,,,0,0
7800.06,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,,,,0,0
7800.07,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,,,,0,0
7800.08,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,,,,0,0
7800.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
7900.01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
7900.03,0,1,0,1,0,1,1,1,0,0,0,0,2,2,0,,,,0,0
8000.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0
8000.02,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,,,,0,0
8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
8300.01,0,0,0,0,0,1,0,1,0,0,2,2,0,2,2,,,,0,0
8300.02,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
8400.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
8400.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
8700.01,0,0,0,0,0,1,0,1,1,1,0,1,0,2,2,,,,0,0
8700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
8800.02,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,,,,0,0
8800.03,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,,,,0,0
8800.04,0,1,0,1,1,1,0,1,0,0,0,0,2,2,0,,,,0,0
8900.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
8900.04,0,0,0,0,0,0,0,1,0,1,0,1,2,2,2,,,,1,0
9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9100.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9200.01,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
9200.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9200.04,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,,,,0,0
9300.01,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,,,,0,0
9300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9400,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
9500.01,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,,,,1,0
9500.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9500.04,1,1,0,1,0,0,0,0,0,0,0,2,2,2,2,,,,0,0
9500.05,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
9500.07,0,0,0,1,0,1,0,1,0,0,0,0,2,2,0,,,,0,0
9500.08,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
9500.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9600.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9600.02,0,1,0,1,0,1,0,1,0,1,0,0,2,2,2,,,,0,0
9600.03,1,2,1,2,1,1,1,1,0,0,0,0,4,2,0,,,,0,0
9600.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9800.01,0,1,0,0,1,1,0,1,0,0,0,0,2,2,0,,,,0,0
9800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9800.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,,,0,0
9800.04,0,0,0,0,0,0,0,0,0,1,0,1,4,4,2,,,,0,0
9800.07,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,0,0
9800.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9800.11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,,,,0,0
9900.01,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
9900.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9900.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
9900.04,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
9900.05,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
9900.06,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
9900.07,0,2,1,2,1,2,2,2,0,0,0,0,4,4,0,,,,0,0
10100,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,,,,6,0
10200,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,,,,5,0
10300,0,1,0,1,0,1,0,1,0,0,0,0,2,2,0,,,,0,0
10400,0,2,0,1,0,1,0,1,0,1,0,0,6,2,2,,,,0,0
10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0
10600,0,2,1,2,1,1,1,1,0,0,0,0,4,2,0,,,,1,0
10700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,11,0
10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,0
10900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
11100,0,2,0,2,0,1,0,1,0,1,0,1,6,2,2,,,,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,78,23
