Census Tracts,grade_5_english_75,grade_5_english_25,grade_5_math_75,grade_5_math_25,grade_8_english_75,grade_8_english_25,grade_8_math_75,grade_8_math_25,grade_8_english_75,grade_8_english_25,grade_8_math_75,grade_8_math_25,,Total
9900.05,0,0,0,0,0,0,0,0,0,0,0,0,,0
9900.06,0,0,0,1,0,0,0,0,0,0,0,0,,1
9900.07,0,2,1,2,1,2,2,2,0,0,0,0,,12
10100,1,1,1,1,0,0,0,0,0,0,0,0,,4
10200,0,0,0,0,0,2,0,0,0,0,0,0,,2
10300,0,1,0,1,0,1,0,1,0,0,0,0,,4
10400,0,2,0,1,0,1,0,1,0,1,0,0,,6
10500,0,0,0,0,0,0,0,0,0,0,0,0,,0
10600,0,2,1,2,1,1,1,1,0,0,0,0,,9
10700,0,0,0,0,0,0,0,0,0,0,0,0,,0
10800,0,0,0,0,0,0,0,0,0,0,0,0,,0
10900,0,0,0,0,0,0,0,0,0,0,0,0,,0
11000,0,0,0,0,0,0,0,0,0,0,0,0,,0
11100,0,2,0,2,0,1,0,1,0,1,0,1,,8
